Airport_ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
2224,Risalpur Air Base,Risalpur,Pakistan,\N,OPRS,34.08110046,71.97260284,1050,5,N,Asia/Karachi,airport,OurAirports
2225,Rawalakot Airport,Rawala Kot,Pakistan,RAZ,OPRT,33.84970093,73.79810333,5479,5,N,Asia/Karachi,airport,OurAirports
2227,Sukkur Airport,Sukkur,Pakistan,SKZ,OPSK,27.72200012,68.79170227,196,5,N,Asia/Karachi,airport,OurAirports
2228,Saidu Sharif Airport,Saidu Sharif,Pakistan,SDT,OPSS,34.81359863,72.35279846,3183,5,N,Asia/Karachi,airport,OurAirports
2229,Sui Airport,Sui,Pakistan,SUL,OPSU,28.64509964,69.17690277,763,5,N,Asia/Karachi,airport,OurAirports
2230,Talhar Airport,Talhar,Pakistan,BDN,OPTH,24.84149933,68.83840179,28,5,N,Asia/Karachi,airport,OurAirports
2232,Wana Airport,Wana,Pakistan,WAF,OPWN,32.30469894,69.57039642,4550,5,N,Asia/Karachi,airport,OurAirports
2233,Zhob Airport,Zhob,Pakistan,PZH,OPZB,31.35840034,69.46360016,4728,5,N,Asia/Karachi,airport,OurAirports
2234,Basrah International Airport,Basrah,Iraq,BSR,ORMM,30.54910088,47.66210175,11,3,U,Asia/Baghdad,airport,OurAirports
2235,Aleppo International Airport,Aleppo,Syria,ALP,OSAP,36.18069839,37.22439957,1276,2,E,Asia/Damascus,airport,OurAirports
2236,Damascus International Airport,Damascus,Syria,DAM,OSDI,33.41149902,36.5155983,2020,2,E,Asia/Damascus,airport,OurAirports
2237,Deir ez-Zor Air Base,Deire Zor,Syria,DEZ,OSDZ,35.2854,40.175999,700,2,E,Asia/Damascus,airport,OurAirports
2239,Bassel Al-Assad International Airport,Latakia,Syria,LTK,OSLK,35.40110016,35.94869995,157,2,E,Asia/Damascus,airport,OurAirports
2240,Palmyra Airport,Palmyra,Syria,PMS,OSPR,34.5574,38.316898,1322,2,E,Asia/Damascus,airport,OurAirports
2241,Doha International Airport,Doha,Qatar,DIA,OTBD,25.261101,51.565102,35,3,U,Asia/Qatar,airport,OurAirports
2242,Canton Island Airport,Canton Island,Kiribati,CIS,PCIS,-2.76812005,-171.7100067,9,13,U,Pacific/Enderbury,airport,OurAirports
